Date,Day,Activity Name,Activity Type,Frequency,Tracking Type,Target,Difficulty,Action Today,Value/Completions Today,Status After Action,Expected Status Next Day,Should Reset Tomorrow,Notes
2025-11-20,Thu,Daily Steps,Habit,Daily,Value,10000 steps,Medium,Log Value,8500,In Progress,To Do,Yes - Daily,First day tracking starts
2025-11-20,Thu,Morning Exercise,Habit,Daily,Count,1,Easy,Complete,1,Done,To Do,Yes - Daily,Completed fully
2025-11-20,Thu,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,Partial Complete,5,In Progress,To Do,Yes - Daily,Partially done - should still reset
2025-11-20,Thu,Weekly Gym Session,Habit,Weekly,Count,3,Hard,Complete Once,1,In Progress,In Progress,No - Weekly,Week starts - 1/3 done
2025-11-20,Thu,Call Family Weekly,Habit,Weekly,Count,1,Easy,No Action,0,To Do,To Do,No - Weekly,Not started yet
2025-11-20,Thu,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,0,To Do,To Do,No - Monthly,Monthly habit - resets on 1st of each month
2025-11-20,Thu,Weekly Running,Habit,Weekly,Value,20 km,Hard,Log Value,5,In Progress,In Progress,No - Weekly,5km of 20km target
2025-11-20,Thu,Meditation Challenge,Habit,Daily,Count,1,Easy,Complete,1,Done,To Do,Yes - Daily,NEW: 21-day meditation challenge
2025-11-20,Thu,Finish Report,Task,One-Time,-,-,Medium,No Action,0,To Do,To Do,No,Task - no auto reset
2025-11-21,Fri,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET,0,To Do,To Do,Yes - Daily,Yesterday's 8500 logged as PARTIAL (85%)
2025-11-21,Fri,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET,0,To Do,To Do,Yes - Daily,Yesterday's 100% logged as COMPLETE
2025-11-21,Fri,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET,0,To Do,To Do,Yes - Daily,Yesterday's 5/8 logged as PARTIAL (62%)
2025-11-21,Fri,Weekly Gym Session,Habit,Weekly,Count,3,Hard,Complete Once,2,In Progress,In Progress,No - Weekly,Now 2/3 done
2025-11-21,Fri,Call Family Weekly,Habit,Weekly,Count,1,Easy,No Action,0,To Do,To Do,No - Weekly,Still not done
2025-11-21,Fri,Monthly Budget Review,Habit,Monthly,Count,1,Medium,No Action,0,To Do,To Do,No - Monthly,Still same month (Nov)
2025-11-21,Fri,Weekly Running,Habit,Weekly,Value,20 km,Hard,Log Value,8,In Progress,In Progress,No - Weekly,Now 8km total
2025-11-21,Fri,Meditation Challenge,Habit,Daily,Count,1,Easy,SYSTEM RESET + Complete,1,Done,To Do,Yes - Daily,Day 2 complete
2025-11-21,Fri,Finish Report,Task,One-Time,-,-,Medium,Started Work,0,In Progress,In Progress,No,Manual status change
2025-11-22,Sat,Daily Steps,Habit,Daily,Value,10000 steps,Medium,No Action,0,To Do,To Do,Yes - Daily,Missed - will log as MISSED (0%)
2025-11-22,Sat,Morning Exercise,Habit,Daily,Count,1,Easy,Complete,1,Done,To Do,Yes - Daily,Completed fully
2025-11-22,Sat,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,Complete All,8,Done,To Do,Yes - Daily,Full completion
2025-11-22,Sat,Weekly Gym Session,Habit,Weekly,Count,3,Hard,Complete Once,3,Done,To Do,No - Weekly,Completed 3/3 this week
2025-11-22,Sat,Call Family Weekly,Habit,Weekly,Count,1,Easy,Complete,1,Done,To Do,No - Weekly,Completed 1/1
2025-11-22,Sat,Monthly Budget Review,Habit,Monthly,Count,1,Medium,Complete,1,Done,Done,No - Monthly,Completed for November!
2025-11-22,Sat,Weekly Running,Habit,Weekly,Value,20 km,Hard,Log Value,7,In Progress,In Progress,No - Weekly,Now 15km total
2025-11-22,Sat,Meditation Challenge,Habit,Daily,Count,1,Easy,SYSTEM RESET + Complete,1,Done,To Do,Yes - Daily,Day 3 complete
2025-11-22,Sat,Finish Report,Task,One-Time,-,-,Medium,No Action,0,In Progress,In Progress,No,Still in progress
2025-11-23,Sun,Daily Steps,Habit,Daily,Value,10000 steps,Medium,SYSTEM RESET then Log,6000,In Progress,To Do,Yes - Daily,Yesterday MISSED logged; today partial
2025-11-23,Sun,Morning Exercise,Habit,Daily,Count,1,Easy,SYSTEM RESET,0,To Do,To Do,Yes - Daily,Yesterday logged as COMPLETE
2025-11-23,Sun,Drink 8 Glasses Water,Habit,Daily,Count,8,Easy,SYSTEM RESET,0,To Do,To Do,Yes - Daily,Yesterday logged as COMPLETE
2025-11-23,Sun,Weekly Gym Session,Habit,Weekly,Count,3,Hard,No Action,3,Done,To Do,No - Weekly,Still showing last week's done
2025-11-23,Sun,Call Family Weekly,Habit,Weekly,Count,1,Easy,No Action,1,Done,To Do,No - Weekly,Still showing last week's done
